Moderna,Close,Gold,Close,Ethereum,Close,Bitcoin,Close,Crude Oil,Close,"Digital Realty Trust, Inc",Close,Nike,Close,"Overstock, Inc",Close
4/14/2020 16:00:00,34.66,4/14/2020 16:00:00,24.43,4/9/2020 17:26:00,6.28,4/16/2020 16:00:00,0.12,4/14/2020 16:00:00,42.43,4/14/2020 16:00:00,144.88,4/14/2020 16:00:00,87.47,4/14/2020 16:00:00,8.71
4/15/2020 16:00:00,37.25,4/15/2020 16:00:00,24.47,4/14/2020 17:26:00,6.34,4/17/2020 16:00:00,0.12,4/15/2020 16:00:00,40.48,4/15/2020 16:00:00,140.9,4/15/2020 16:00:00,85.04,4/15/2020 16:00:00,8.47
4/16/2020 16:00:00,40.6,4/16/2020 16:00:00,25,4/15/2020 17:26:00,6,4/20/2020 16:00:00,0.12,4/16/2020 16:00:00,39.15,4/16/2020 16:00:00,141.95,4/16/2020 16:00:00,86.3,4/16/2020 16:00:00,9.11
4/17/2020 16:00:00,46.85,4/17/2020 16:00:00,24.54,4/16/2020 17:26:00,5.91,4/21/2020 16:00:00,0.12,4/17/2020 16:00:00,43.22,4/17/2020 16:00:00,149.2,4/17/2020 16:00:00,89.91,4/17/2020 16:00:00,9.22
4/20/2020 16:00:00,51.69,4/20/2020 16:00:00,24.92,4/17/2020 17:26:00,5.88,4/22/2020 16:00:00,0.12,4/20/2020 16:00:00,41.18,4/20/2020 16:00:00,143.72,4/20/2020 16:00:00,87.9,4/20/2020 16:00:00,10.27
4/21/2020 16:00:00,49.26,4/21/2020 16:00:00,24.82,4/20/2020 17:26:00,5.9,4/23/2020 16:00:00,0.12,4/21/2020 16:00:00,40.96,4/21/2020 16:00:00,144.7,4/21/2020 16:00:00,85.2,4/21/2020 16:00:00,9.95
4/22/2020 16:00:00,51.2,4/22/2020 16:00:00,26.48,4/21/2020 17:26:00,5.9,4/24/2020 16:00:00,0.18,4/22/2020 16:00:00,42.13,4/22/2020 16:00:00,149.18,4/22/2020 16:00:00,88.77,4/22/2020 16:00:00,8.8
4/23/2020 16:00:00,47.44,4/23/2020 16:00:00,26.74,4/22/2020 17:26:00,5.92,4/27/2020 16:00:00,0.12,4/23/2020 16:00:00,43.45,4/23/2020 16:00:00,148.53,4/23/2020 16:00:00,87.35,4/23/2020 16:00:00,8.01
4/24/2020 16:00:00,50.5,4/24/2020 16:00:00,27.1,4/23/2020 17:26:00,6.06,4/28/2020 16:00:00,0.18,4/24/2020 16:00:00,43.73,4/24/2020 16:00:00,150.03,4/24/2020 16:00:00,88.37,4/24/2020 16:00:00,9.92
4/27/2020 16:00:00,48.05,4/27/2020 16:00:00,26.93,4/24/2020 17:26:00,6,4/29/2020 16:00:00,0.24,4/27/2020 16:00:00,43.94,4/27/2020 16:00:00,154.23,4/27/2020 16:00:00,89.37,4/27/2020 16:00:00,11.6
4/28/2020 16:00:00,47.88,4/28/2020 16:00:00,26.96,4/27/2020 17:26:00,6.17,4/30/2020 16:00:00,0.18,4/28/2020 16:00:00,44.97,4/28/2020 16:00:00,154.15,4/28/2020 16:00:00,88.8,4/28/2020 16:00:00,12
4/29/2020 16:00:00,46.37,4/29/2020 16:00:00,26.55,4/28/2020 17:26:00,6.22,5/1/2020 16:00:00,0.18,4/29/2020 16:00:00,47.46,4/29/2020 16:00:00,148.61,4/29/2020 16:00:00,88.07,4/29/2020 16:00:00,12.08
4/30/2020 16:00:00,45.99,4/30/2020 16:00:00,25.72,4/29/2020 17:26:00,6.24,5/4/2020 16:00:00,0.12,4/30/2020 16:00:00,46.47,4/30/2020 16:00:00,149.49,4/30/2020 16:00:00,87.18,4/30/2020 16:00:00,12.62
5/1/2020 16:00:00,47.93,5/1/2020 16:00:00,26.93,4/30/2020 17:26:00,6.05,5/5/2020 16:00:00,0.12,5/1/2020 16:00:00,43.14,5/1/2020 16:00:00,145.92,5/1/2020 16:00:00,85.54,5/1/2020 16:00:00,11.98
5/4/2020 16:00:00,50.5,5/4/2020 16:00:00,27.38,5/4/2020 17:26:00,5.98,5/6/2020 16:00:00,0.12,5/4/2020 16:00:00,44.88,5/4/2020 16:00:00,145.77,5/4/2020 16:00:00,85.75,5/4/2020 16:00:00,13
5/5/2020 16:00:00,49.34,5/5/2020 16:00:00,28.19,5/5/2020 17:26:00,6.19,5/7/2020 16:00:00,0.12,5/5/2020 16:00:00,44.83,5/5/2020 16:00:00,148,5/5/2020 16:00:00,87.2,5/5/2020 16:00:00,14.1
5/6/2020 16:00:00,48.95,5/6/2020 16:00:00,26.56,5/6/2020 17:26:00,6.09,5/8/2020 16:00:00,0.12,5/6/2020 16:00:00,43.99,5/6/2020 16:00:00,149.7,5/6/2020 16:00:00,88.44,5/6/2020 16:00:00,16.25
5/7/2020 16:00:00,53.19,5/7/2020 16:00:00,27.26,5/7/2020 17:26:00,6.05,5/11/2020 16:00:00,0.18,5/7/2020 16:00:00,44.24,5/7/2020 16:00:00,149.03,5/7/2020 16:00:00,88.56,5/7/2020 16:00:00,15.93
5/8/2020 16:00:00,59.25,5/8/2020 16:00:00,27.39,5/8/2020 17:26:00,5.93,5/12/2020 16:00:00,0.11,5/8/2020 16:00:00,46.18,5/8/2020 16:00:00,145.06,5/8/2020 16:00:00,90.46,5/8/2020 16:00:00,16.13
5/11/2020 16:00:00,66.9,5/11/2020 16:00:00,26.02,5/11/2020 17:26:00,6,5/13/2020 16:00:00,0.11,5/11/2020 16:00:00,45.74,5/11/2020 16:00:00,144.36,5/11/2020 16:00:00,90.93,5/11/2020 16:00:00,17.59
5/12/2020 16:00:00,62.35,5/12/2020 16:00:00,26.04,5/12/2020 17:26:00,6.38,5/14/2020 16:00:00,0.13,5/12/2020 16:00:00,44.12,5/12/2020 16:00:00,132.93,5/12/2020 16:00:00,88.26,5/12/2020 16:00:00,17.87
5/13/2020 16:00:00,65.18,5/13/2020 16:00:00,26.12,5/13/2020 17:26:00,6.08,5/15/2020 16:00:00,0.13,5/13/2020 16:00:00,41.93,5/13/2020 16:00:00,133.42,5/13/2020 16:00:00,86.02,5/13/2020 16:00:00,19.3
5/14/2020 16:00:00,64.56,5/14/2020 16:00:00,27.14,5/14/2020 17:26:00,6.04,5/19/2020 16:00:00,0.14,5/14/2020 16:00:00,42.3,5/14/2020 16:00:00,132.72,5/14/2020 16:00:00,86.55,5/14/2020 16:00:00,18.62
5/15/2020 16:00:00,66.69,5/15/2020 16:00:00,28.04,5/15/2020 17:26:00,5.85,5/20/2020 16:00:00,0.12,5/15/2020 16:00:00,42,5/15/2020 16:00:00,130.77,5/15/2020 16:00:00,86.99,5/15/2020 16:00:00,17.07
5/18/2020 16:00:00,80,5/18/2020 16:00:00,27.2,5/18/2020 17:26:00,5.91,5/21/2020 16:00:00,0.12,5/18/2020 16:00:00,45.34,5/18/2020 16:00:00,131.43,5/18/2020 16:00:00,91.04,5/18/2020 16:00:00,15.19
5/19/2020 16:00:00,71.67,5/19/2020 16:00:00,28.1,5/19/2020 17:26:00,5.74,5/22/2020 16:00:00,0.12,5/19/2020 16:00:00,43.94,5/19/2020 16:00:00,131.41,5/19/2020 16:00:00,91.51,5/19/2020 16:00:00,17.87
5/20/2020 16:00:00,73.47,5/20/2020 16:00:00,27.25,5/20/2020 17:26:00,5.51,5/25/2020 16:00:00,0.11,5/20/2020 16:00:00,45.37,5/20/2020 16:00:00,132.75,5/20/2020 16:00:00,92.95,5/20/2020 16:00:00,18.54
5/21/2020 16:00:00,67.05,5/21/2020 16:00:00,26.26,5/21/2020 17:26:00,5.53,5/26/2020 16:00:00,0.11,5/21/2020 16:00:00,44.56,5/21/2020 16:00:00,130.75,5/21/2020 16:00:00,94.26,5/21/2020 16:00:00,17.85
